title,company,location,description,required_skills,category,experience_level,salary_range,posted_date
Solutions Architect,AWS,Seattle,Work with customers to design robust and scalable cloud-native architectures using Amazon Web Services.,"AWS,Architecture,Microservices,Serverless,Networking,Security,Python,Java",Engineering,Senior,"$155,000-$240,000",Today
Marketing Analyst,TikTok,Los Angeles,Drive growth through data-driven analysis of marketing campaigns and user engagement on a global scale.,"SQL,Python,Data Visualization,A/B Testing,Statistics,Marketing Analytics,BigQuery",Marketing,Entry-Mid,"$105,000-$160,000",3 days ago
Digital Marketing Lead,Shopify,Remote,Lead the digital marketing strategy for a leading commerce platform. Manage major performance channels.,"SEO,SEM,Social Media,Analytics,Growth Marketing,Strategy,Leadership,Content Marketing",Marketing,Senior,"$120,000-$185,000",1 week ago
Financial Analyst,Goldman Sachs,New York,Perform complex financial modeling and analysis of markets to support investment banking and portfolio management.,"Finance,Excel,Python,SQL,Financial Modeling,Valuation,Accounting,Communication",Finance,Mid,"$110,000-$175,000",2 days ago
HR Specialist,LinkedIn,Sunnyvale,Scale the talent and culture of the world's largest professional network. Focus on inclusive hiring practices.,"Recruitment,HRIS,Employee Relations,Communication,Sourcing,Onboarding,Diversity & Inclusion",HR,Entry-Mid,"$85,000-$135,000",4 days ago
Content Strategist,Grammarly,San Francisco,Define the content voice and strategy for AI-powered communication tools used by millions daily.,"Content Strategy,Copywriting,UX Writing,Communication,Data Analysis,Editing,Product Strategy",Content,Mid-Senior,"$120,000-$180,000",3 days ago
Graphic Designer,Canva,Sydney,Create beautiful and versatile design assets that empower everyone to design anything.,"Graphic Design,UI Design,Illustration,Figma,Branding,Color Theory,Typography,Canva",Design,Entry-Mid,"$80,000-$130,000",1 week ago
Sales Engineer,Slack,Remote,Partner with sales teams to explain the technical power of Slack's collaboration platform to enterprise customers.,"Communication,Product Knowledge,API Design,Integration,Presentations,CRM,Problem Solving",Sales,Mid-Senior,"$120,000-$190,000",5 days ago
Research Analyst,Morningstar,Chicago,Provide deep-dive analysis of financial instruments and market trends for independent investment research.,"Research,Data Analysis,Writing,Finance,Statistics,Excel,Critical Thinking,Market Trends",Research,Entry-Mid,"$85,000-$140,000",1 week ago
Operations Manager,FedEx,Memphis,Optimize complex logistics and delivery processes using data and process management.,"Logistics,Operations,Leadership,Process Improvement,Supply Chain,Excel,Project Management",Operations,Mid-Senior,"$90,000-$150,000",2 weeks ago
Biomedical Engineer,Medtronic,Minneapolis,Develop life-saving medical devices and technology for varied patient needs.,"Medical Devices,R&D,FDA Regulations,MATLAB,Python,LabView,Engineering Design",Engineering,Mid-Senior,"$100,000-$165,000",4 days ago
Environmental Scientist,NASA,Greenbelt,Analyze climate data and environmental impacts to support earth science missions and research.,"Environmental Science,GIS,Remote Sensing,Python,Data Analysis,Climate Modeling,Research",Science,Mid-Senior,"$95,000-$150,000",1 week ago
Supply Chain Analyst,Walmart,Bentonville,Manage and optimize the largest retail supply chain in the world using advanced demand forecasting.,"Supply Chain,Logistics,Forecasting,Inventory Management,SQL,Tableau,SAP,Data Analysis",Operations,Mid,"$85,000-$140,000",1 month ago
Technical Support Engineer,Cisco,Remote,Solve complex networking and security issues for global enterprise customers.,"Networking,CCNA,Linux,Python,Troubleshooting,Customer Service,Communication,Security",IT,Entry-Mid,"$70,000-$115,000",2 days ago
Robotics Engineer,Boston Dynamics,Waltham,Build the future of athletic robots. Focus on control systems, vision, and real-time response.,"C++,Python,Robotics,Control Systems,ROS,Computer Vision,Embedded Systems,Physics",Engineering,Mid-Senior,"$125,000-$200,000",1 week ago
Bioinformatics Scientist,Illumina,San Diego,Develop computational pipelines for high-throughput DNA sequencing and genomic research.,"Bioinformatics,Python,R,Genomics,Statistics,Machine Learning,Linux,NGS",Science,Mid-Senior,"$115,000-$185,000",3 days ago
Penetration Tester,Mandiant,Remote,Identify and exploit security vulnerabilities in enterprise systems as a service to our clients.,"Penetration Testing,Network Security,Web Security,Scripting,Python,Metasploit,Ethical Hacking",Security,Mid-Senior,"$120,000-$195,000",2 days ago
Cloud Engineer,DigitalOcean,Remote,Maintain and improve the cloud infrastructure that powers developer projects across the world.,"Go,Linux,Kubernetes,Docker,Infrastructure as Code,Networking,Storage,Security",Engineering,Mid-Senior,"$120,000-$180,000",5 days ago
Firmware Developer,Linksys,Irvine,Develop high-performance firmware for wireless networking and home connectivity products.,"C,C++,Embedded C,Networking,RTOS,Device Drivers,Unit Testing,Debugging",Engineering,Mid,"$105,000-$160,000",1 week ago
UX Researcher,Pinterest,San Francisco,Conduct user research to understand inspiration and discovery on a visual platform.,"User Research,Usability Testing,Data Analysis,Psychology,Qualitative Research,Surveys,A/B Testing",Design,Mid-Senior,"$125,000-$190,000",3 days ago
Project Manager,Boeing,Seattle,Manage large-scale aerospace engineering projects from initiation through to delivery.,"Project Management,Aerospace,Agile,MS Project,Risk Management,Leadership,Engineering",Management,Senior,"$115,000-$185,000",2 weeks ago
Java Backend Developer,Square,San Francisco,Build secure and scaleable financial services using Java and modern microservices architecture.,"Java,Kotlin,Spring Boot,PostgreSQL,Microservices,AWS,Testing,Distributed Systems",Engineering,Mid-Senior,"$145,000-$220,000",Today
React Native Developer,Discord,Remote,Build excellent mobile experiences for gaming communities using React Native.,"React Native,React,JavaScript,TypeScript,Mobile Development,Android,iOS,Performance",Engineering,Mid-Senior,"$140,000-$210,000",3 days ago
Golang Engineer,Cockroach Labs,New York,Build a globally distributed, cloud-native SQL database in Go.,"Go,Distributed Systems,Database Internal,SQL,Performance Tuning,C++,Algorithms",Engineering,Senior,"$170,000-$260,000",1 day ago
Security Engineer,Cloudflare,Remote,Protect the internet at the infrastructure level. Implement global security protocols and features.,"C,Rust,Networking,Web Security,Encryption,Linux,Distributed Systems,Python",Security,Senior,"$160,000-$250,000",2 days ago
NLP Data Scientist,Jasper,Remote,Optimize generative AI models for marketing and creative writing at scale.,"Python,NLP,Transformers,Generative AI,Prompt Engineering,PyTorch,Data Engineering",Data Science,Mid-Senior,"$150,000-$230,000",1 day ago
Kubernetes Specialist,Red Hat,Remote,Contribute to OpenShift and Kubernetes core to power enterprise cloud platforms.,"Go,Kubernetes,Docker,OpenShift,Linux,Distributed Systems,Networking,CI/CD",Engineering,Senior,"$150,000-$220,000",1 week ago
Platform Engineer,HashiCorp,Remote,Build the lifecycle of cloud infrastructure with tools like Terraform and Vault.,"Go,Terraform,Cloud Infrastructure,Distributed Systems,API Design,Security,Kubernetes",Engineering,Mid-Senior,"$140,000-$215,000",2 days ago
iOS Developer,Snapchat,Santa Monica,Lead the development of next-generation camera and AR features on the iOS platform.,"Swift,Objective-C,iOS,Core ML,Metal,Performance,Mobile Development,UI/UX",Engineering,Senior,"$150,000-$230,000",4 days ago
Android Engineer,Pinterest,San Francisco,Build a visual discovery engine for millions of Android users worldwide.,"Kotlin,Java,Android SDK,MVVM,Retrofit,Core Animation,Coroutines,Testing",Engineering,Mid-Senior,"$140,000-$215,000",1 day ago
Data Visualization Expert,Tableau,Seattle,Design and implement cutting-edge data visualization tools and features.,"JavaScript,D3.js,Web Graphics,React,SQL,Data Visualization,SVG,Performance",Engineering,Mid-Senior,"$130,000-$200,000",1 week ago
Rust Developer,1Password,Remote,Build high-security, high-performance password management tools using Rust.,"Rust,Security,Cryptography,Distributed Systems,API Design,Linux,macOS,Systems Programming",Engineering,Mid-Senior,"$135,000-$205,000",3 days ago
Head of Engineering,Linear,Remote,Lead the engineering organization for the fastest tool for software teams.,"Engineering Leadership,Product Strategy,Hiring,System Design,TypeScript,Node.js,React",Management,Executive,"$220,000-$350,000",Today
Staff Software Engineer,Stripe,Dublin,Lead core financial infrastructure and payment processing systems at global scale.,"Ruby,Java,Go,Distributed Systems,Reliability,System Design,Financial Tech",Engineering,Senior (Staff),"$180,000-$290,000",2 days ago
Infrastructure Engineer,Vercel,Remote,Build the global infrastructure that powers the next generation of web hosting.,"Edge Computing,Next.js,Go,Rust,Kubernetes,AWS,Networking,Cloudflare",Engineering,Mid-Senior,"$150,000-$230,000",1 day ago
Machine Learning Researcher,DeepMind,London,Conduct foundational AI research and publish findings in top-tier conferences.,"Deep Learning,Mathematics,PyTorch,Research,Algorithms,Statistics,AI Safety",Research,Senior,"$160,000-$280,000",1 week ago
Senior Data Scientist,Hugging Face,Remote,Build the open-source platform that democratizes AI and machine learning.,"Python,Transformers,PyTorch,Hugging Face,Machine Learning,Open Source,Community",Data Science,Senior,"$140,000-$210,000",Today
Lead Designer,Figma,San Francisco,Design the future of collaborative design tools used by millions of designers and developers globally.,"Product Design,Figma,Design Systems,Interaction Design,Visual Design,UX Research",Design,Senior (Lead),"$160,000-$245,000",2 days ago
Technical Architect,Salesforce,Indianapolis,Design complex cloud-native architectures and lead large-scale digital transformations on the Salesforce platform.,"Salesforce,Cloud Architecture,Apex,LWC,Integration,Solutions Design,Enterprise Apps",Engineering,Senior,"$150,000-$230,000",1 week ago
VP of Engineering,Rippling,San Francisco,Scale the engineering organization for a rapidly growing fintech and payroll platform.,"Engineering Management,Scaling,Fintech,Hiring,Product Strategy,Leadership",Management,Executive,"$250,000-$400,000",Today
Director of Product,Notion,San Francisco,Own the product strategy for a global collaboration and productivity tool. Lead a multi-disciplinary team.,"Product Management,Strategy,Growth,Leadership,Roadmapping,User Research,Communication",Management,Executive,"$180,000-$300,000",3 days ago
Chief Technology Officer,Vanta,San Francisco,Lead the technology vision and engineering for a high-growth compliance automation startup.,"CTO,Technical Vision,Engineering Leadership,Scaling,Security,Compliance,Hiring",Management,Executive,"$250,000-$450,000",2 weeks ago
Senior DevOps Architect,Datadog,Remote,Build the observability platform of the future. Engineer massive-scale data collectors.,"Go,Kubernetes,monitoring,Cloud,System Design,Linux,Performance,Kafka",Engineering,Senior (Staff),"$170,000-$260,000",1 day ago
Systems Architect,NVIDIA,Irvine,Design next-generation hardware-software integrated systems for data centers and AI clusters.,"Systems Programming,C++,Memory Systems,Networking,Data Centers,HPC,Hardware Architecture",Engineering,Senior,"$180,000-$290,000",1 week ago
Technical Lead,Palantir,Denver,Lead engineering teams in building mission-critical data analysis and decision support platforms.,"Distributed Systems,Java,Scaling,Deployment,Client Relations,Data Engineering,Security",Engineering,Lead,"$160,000-$250,000",3 days ago
Lead ML Engineer,Cruise,San Francisco,Develop and deploy the machine learning stack for self-driving vehicles on city streets.,"Python,PyTorch,Robotics,Computer Vision,Deep Learning,Autonomous Driving,C++",Data Science,Lead,"$170,000-$265,000",Today
Senior Backend Developer,Postman,Remote,Build the leading API collaboration platform used by developers and companies of all sizes.,"Node.js,Go,PostgreSQL,Redis,Distributed Systems,API Design,Observability",Engineering,Senior,"$145,000-$210,000",1 week ago
AI Product Manager,Jasper,Remote,Define the product strategy for AI-powered marketing and content generation tools.,"Product Management,AI,NLP,Generative AI,Marketing Tech,Strategy,Data Analysis",Management,Mid-Senior,"$135,000-$200,000",2 days ago
Senior Frontend Lead,Monday.com,Tel Aviv,Architect the frontend of the world's leading Work OS for teams.,"React,JavaScript,TypeScript,Redux,Microfrontends,Performance,CSS-in-JS",Engineering,Senior (Lead),"$130,000-$195,000",1 week ago
Engineering Manager,Klarna,Stockholm,Lead an engineering squad focused on next-generation payments and shopping experiences.,"Engineering Management,Fintech,Mentoring,Agile,Java,JavaScript,Hiring",Management,Mid-Senior,"$120,000-$185,000",2 weeks ago
Cloud Security Principal,Splunk,Remote,Build enterprise-grade cloud security and monitoring solutions for data-driven companies.,"Cloud Security,Python,Go,Security Engineering,Networking,Kubernetes,Automation",Security,Senior (Principal),"$170,000-$260,000",1 week ago
Lead Data Engineer,Instacart,San Francisco,Architect and build data pipelines that power a leading grocery delivery and advertising business.,"SQL,Python,Spark,Snowflake,Data Modeling,Data Warehousing,Airflow,Kafka",Data Science,Lead,"$165,000-$245,000",3 days ago
Digital Nomad Advocate,Remote.com,Remote,Build the software that enables teams to hire anywhere in the world and work from anywhere.,"Remote Work,Global Fintech,Python,React,Communication,Compliance,Payroll",Business,Lead,"$100,000-$160,000",1 month ago
Head of AI,Cohere,Toronto,Lead the research and development of massive language models for enterprise applications.,"AI Leadership,Large Language Models,Research,Deep Learning,Strategy,PyTorch",Research,Executive,"$200,000-$380,000",Today
Senior Product Designer,Zoom,Remote,Design the future of collaborative communication and virtual meetings.,"Product Design,UX,Accessibility,Video Conferencing Design,Figma,User Research",Design,Senior,"$130,000-$200,000",1 week ago
Senior Mobile Designer,InVision,Remote,Shape the future of digital design and project management through world-class mobile experiences.,"Mobile Design,UI/UX,Interaction Design,Prototyping,Visual Design,Figma",Design,Senior,"$125,000-$190,000",2 weeks ago
Lead Security Researcher,SentinelOne,Remote,Conduct deep-dive research into global cyber threats and cyber attack techniques.,"Malware Analysis,Reverse Engineering,Forensics,Threat Intel,C,Python,Windows Internals",Security,Lead,"$160,000-$250,000",Today
Technical Operations Lead,Twilio,Denver,Lead the global technical operations and infrastructure team for a leading communications platform.,"SRE,Tech Ops,Cloud Infrastructure,Leadership,Networking,Reliability,Scaling",Operations,Lead,"$140,000-$210,000",1 month ago
Principal Data Scientist,Peloton,New York,Drive the next generation of connected fitness experiences using high-fidelity user data and ML.,"Python,Machine Learning,Product Analytics,Personalization,Leadership,Statistics,PyTorch",Data Science,Senior (Principal),"$170,000-$265,000",1 week ago
Lead QA Automation Engineer,Wrike,Prague,Lead the mission of delivering high-quality collaborative project management software through automation.,"Selenium,Java,Python,Automation Strategy,CI/CD,Leadership,Test Design",Engineering,Lead,"$80,000-$135,000",1 week ago
Senior Customer Success Engineer,Sentry,Remote,Help developers at leading companies maximize the value of AI-powered error monitoring.,"Customer Success,Technical Support,JavaScript,Python,Communication,Troubleshooting",Sales/Support,Senior,"$110,000-$170,000",2 weeks ago
Senior Content Designer,Squarespace,New York,Shape the content and tone for a world-class website building and e-commerce platform.,"Content Design,UX Writing,Copywriting,Design Strategy,Figma,Branding",Content,Senior,"$115,000-$180,000",1 month ago
IT Infrastructure Director,L’Oréal,Paris,Lead the global IT infrastructure and digital transformation for a leading beauty brand.,"IT Strategy,Infrastructure Management,Cloud Migration,Leadership,Digital Transformation",Management,Executive,"$160,000-$260,000",1 month ago
Staff Backend Engineer,Rippling,Remote,Build the core platform services for an all-in-one HR, IT, and Finance platform.,"Python,Django,Distributed Systems,PostgreSQL,Microservices,Reliability,Scaling",Engineering,Senior (Staff),"$180,000-$290,000",1 week ago
Senior Full Stack Engineer,Linear,Remote,Work on the core engine and features for the high-end project management tool for developers.,"TypeScript,React,Node.js,PostgreSQL,GraphQL,Performance,Product Design",Engineering,Senior,"$150,000-$230,000",Today
Lead Technical Recruiter,OpenAI,San Francisco,Lead the recruitment and hiring of world-class AI researchers and software engineering talent.,"Recruitment,Hiring Strategy,Technical Sourcing,AI Talent,Communication,Leadership",HR,Lead,"$140,000-$210,000",3 days ago
Senior Product Writer,Shopify,Remote,Write the copy that powers the leading e-commerce platform for millions of merchants.,"UX Writing,Copywriting,E-commerce,Content Strategy,Figma,Communication",Content,Senior,"$110,000-$175,000",1 month ago
Senior Growth Analyst,Webflow,Remote,Drive the growth of a leading no-code web development platform through data-driven experiments.,"Growth Marketing,SQL,Python,A/B Testing,Experimentation,Data Analysis",Marketing,Senior,"$120,000-$185,000",2 weeks ago
Principal Architect,Adobe,Seattle,Design the architectural future of Adobe Creative Cloud. Lead cross-functional engineering initiatives.,"Cloud Architecture,Scaling,Microservices,System Design,Leadership,Technical Vision",Engineering,Senior (Principal),"$190,000-$320,000",Today
Staff Embedded Engineer,Rivian,Palo Alto,Lead development of core vehicle controls for next-gen electric vehicle platforms.,"C++,Embedded Systems,RTOS,Control Systems,Automotive,Linux,Real-time",Engineering,Senior (Staff),"$180,000-$285,000",1 week ago
Data Strategy Director,Gartner,Remote,Advise global technology companies on data-driven business strategy and market execution.,"Data Strategy,Consulting,Market Research,Leadership,Analytics,Business Strategy",Business,Executive,"$180,000-$300,000",1 month ago
Senior Systems Engineer,Palantir,Remote,Build the deployments and software that power big data analytics for critical global missions.,"Java,Python,Linux,Kubernetes,Big Data,Distributed Systems,Security",Engineering,Senior,"$155,000-$245,000",1 week ago
Senior Brand Designer,Pinterest,San Francisco,Design the brand visual system and marketing assets for a global visual discovery engine.,"Brand Design,Graphic Design,Visual Systems,Figma,Illustration,Art Direction",Design,Senior,"$130,000-$205,000",3 days ago
Lead Solutions Engineer,Duo Security,Remote,Lead the technical sales initiatives for a leading zero-trust security architecture.,"Zero Trust,Security Architecture,Communication,Technical Sales,IAM,SAML",Security/Sales,Lead,"$150,000-$230,000",1 week ago
